id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,DESA MANDIRI,DESA MAJU,DESA BERKEMBANG,DESA TERTINGGAL,DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
224,81.0,MALUKU,8105.0,SERAM BAGIAN TIMUR,6.0,23.0,92.0,75.0,2.0,0,198.0
225,82.0,MALUKU UTARA,8201.0,HALMAHERA BARAT,0.0,6.0,82.0,67.0,18.0,0,173.0
226,82.0,MALUKU UTARA,8204.0,HALMAHERA SELATAN,9.0,12.0,69.0,154.0,5.0,0,249.0
227,82.0,MALUKU UTARA,8202.0,HALMAHERA TENGAH,0.0,7.0,34.0,20.0,0.0,0,61.0
228,82.0,MALUKU UTARA,8206.0,HALMAHERA TIMUR,0.0,7.0,65.0,30.0,0.0,0,102.0
229,82.0,MALUKU UTARA,8203.0,HALMAHERA UTARA,6.0,23.0,117.0,50.0,0.0,0,196.0
230,82.0,MALUKU UTARA,8205.0,KEPULAUAN SULA,0.0,4.0,18.0,56.0,0.0,0,78.0
231,82.0,MALUKU UTARA,8272.0,KOTA TIDORE KEPULAUAN,1.0,9.0,38.0,1.0,0.0,0,49.0
232,82.0,MALUKU UTARA,8207.0,PULAU MOROTAI,1.0,39.0,48.0,0.0,0.0,0,88.0
233,82.0,MALUKU UTARA,8208.0,PULAU TALIABU,0.0,0.0,26.0,42.0,3.0,0,71.0
234,52.0,NUSA TENGGARA BARAT,5206.0,BIMA,18.0,65.0,108.0,0.0,0.0,0,191.0
235,52.0,NUSA TENGGARA BARAT,5205.0,DOMPU,24.0,37.0,11.0,0.0,0.0,0,72.0
